Country,Democracy
Afghanistan,0.3
Africa,0.3
Albania,0.42
Algeria,0.25
Angola,0.09
Argentina,0.63
Armenia,0.18
Asia,0.27
Australia,0.8
Austria,0.77
Azerbaijan,0.05
Bahrain,0.14
Bangladesh,0.19
Barbados,0.65
Belarus,0.09
Belgium,0.79
Benin,0.57
Bhutan,0.21
Bolivia,0.64
Bosnia and Herzegovina,0.45
Botswana,0.62
Brazil,0.81
Bulgaria,0.63
Burkina Faso,0.45
Burundi,0.24
Cambodia,0.2
Cameroon,0.2
Canada,0.75
Cape Verde,0.67
Central African Republic,0.17
Chad,0.12
Chile,0.8
China,0.17
Colombia,0.36
Comoros,0.35
Congo,0.17
Costa Rica,0.85
Cote d'Ivoire,0.33
Croatia,0.58
Cuba,0.06
Cyprus,0.75
Czechia,0.8
Democratic Republic of Congo,0.13
Denmark,0.87
Djibouti,0.14
Dominican Republic,0.48
East Germany,
Ecuador,0.41
Egypt,0.15
El Salvador,0.35
Equatorial Guinea,0.07
Eritrea,0.02
Estonia,0.76
Eswatini,0.08
Ethiopia,0.15
Europe,0.65
Fiji,0.37
Finland,0.82
France,0.81
Gabon,0.29
Gambia,0.08
Georgia,0.38
Germany,0.87
Ghana,0.66
Greece,0.75
Guatemala,0.4
Guinea,0.1
Guinea-Bissau,0.23
Guyana,0.35
Haiti,0.21
Honduras,0.42
Hong Kong,0.32
Hungary,0.63
Iceland,0.74
India,0.65
Indonesia,0.65
Iran,0.21
Iraq,0.23
Ireland,0.71
Israel,0.59
Italy,0.78
Jamaica,0.62
Japan,0.75
Jordan,0.2
Kazakhstan,0.1
Kenya,0.43
Kosovo,0.28
Kuwait,0.31
Kyrgyzstan,0.21
Laos,0.04
Latvia,0.62
Lebanon,0.32
Lesotho,0.4
Liberia,0.28
Libya,0.04
Lithuania,0.73
Luxembourg,0.82
Madagascar,0.28
Malawi,0.38
Malaysia,0.25
Maldives,0.16
Mali,0.5
Malta,0.67
Mauritania,0.2
Mauritius,0.72
Mexico,0.58
Moldova,0.26
Mongolia,0.61
Montenegro,0.37
Morocco,0.22
Mozambique,0.35
Myanmar,0.04
Namibia,0.54
Nepal,0.16
Netherlands,0.8
New Zealand,0.77
Nicaragua,0.48
Niger,0.46
Nigeria,0.34
North America,0.53
North Korea,0.01
North Macedonia,0.41
Norway,0.87
Oceania,0.51
Oman,0.05
Pakistan,0.28
Palestine,
Palestine/Gaza,2007 0.12
Palestine/West Bank,0.42
Panama,0.65
Papua New Guinea,0.32
Paraguay,0.35
Peru,0.68
Philippines,0.42
Poland,0.69
Portugal,0.81
Qatar,0.08
Republic of Vietnam,
Romania,0.42
Russia,0.21
Rwanda,0.19
Sao Tome and Principe,0.5
Saudi Arabia,0.06
Senegal,0.61
Serbia,0.56
Seychelles,0.31
Sierra Leone,0.43
Singapore,0.31
Slovakia,0.71
Slovenia,0.7
Solomon Islands,0.33
Somalia,0.06
Somaliland,0.27
South Africa,0.69
South America,0.56
South Korea,0.79
South Sudan,0.06
Spain,0.8
Sri Lanka,0.27
Sudan,0.06
Suriname,0.65
Sweden,0.88
Switzerland,0.85
Syria,0.03
Taiwan,0.69
Tajikistan,0.09
Tanzania,0.36
Thailand,0.48
Timor,0.35
Togo,0.28
Trinidad and Tobago,0.65
Tunisia,0.13
Turkey,0.49
Turkmenistan,0.01
Uganda,0.26
Ukraine,0.38
United Arab Emirates,0.09
United Kingdom,0.76
United States,0.79
Uruguay,0.84
Uzbekistan,0.03
Vanuatu,0.49
Venezuela,0.26
Vietnam,0.19
World,0.42
Yemen,0.18
Yemen People's Republic,
Zambia,0.46
Zanzibar,0.19
Zimbabwe,0.18
