Country,Depression 
Afghanistan,"848,531.00"
African Region (WHO),"26,195,223.00"
Albania,"76,933.00"
Algeria,"1,313,898.00"
American Samoa,"1,332.00"
Andorra,"3,297.00"
Angola,"746,581.00"
Antigua and Barbuda,"2,509.00"
Argentina,"1,038,150.00"
Armenia,"101,421.00"
Australia,"1,055,981.00"
Austria,"311,974.00"
Azerbaijan,"228,260.00"
Bahamas,"9,929.00"
Bahrain,"46,482.00"
Bangladesh,"5,193,671.00"
Barbados,"9,267.00"
Belarus,"492,573.00"
Belgium,"407,050.00"
Belize,"7,988.00"
Benin,"233,136.00"
Bermuda,"2,529.00"
Bhutan,"22,389.00"
Bolivia,"274,804.00"
Bosnia and Herzegovina,"141,178.00"
Botswana,"65,220.00"
Brazil,"8,529,118.00"
Brunei,"5,554.00"
Bulgaria,"278,117.00"
Burkina Faso,"418,671.00"
Burundi,"250,380.00"
Cambodia,"350,473.00"
Cameroon,"587,938.00"
Canada,"1,147,295.00"
Cape Verde,"19,801.00"
Central African Republic,"183,536.00"
Chad,"328,789.00"
Chile,"691,190.00"
China,"42,847,068.00"
Colombia,"1,055,518.00"
Comoros,"19,872.00"
Congo,"174,027.00"
Cook Islands,608
Costa Rica,"129,019.00"
Cote d'Ivoire,"538,675.00"
Croatia,"174,785.00"
Cuba,"532,694.00"
Cyprus,"34,100.00"
Czechia,"385,662.00"
Democratic Republic of Congo,"2,314,484.00"
Denmark,"227,683.00"
Djibouti,"26,589.00"
Dominica,"2,119.00"
Dominican Republic,"332,691.00"
East Asia & Pacific (WB),"64,024,805.00"
Eastern Mediterranean Region (WHO),"19,050,550.00"
Ecuador,"415,506.00"
Egypt,"2,561,056.00"
El Salvador,"185,301.00"
England,"2,373,469.00"
Equatorial Guinea,"32,889.00"
Eritrea,"165,655.00"
Estonia,"72,671.00"
Eswatini,"34,085.00"
Ethiopia,"2,377,808.00"
Europe & Central Asia (WB),"36,242,767.00"
European Region (WHO),"36,640,953.00"
Fiji,"23,623.00"
Finland,"268,665.00"
France,"2,780,480.00"
G20,"158,887,779.00"
Gabon,"64,515.00"
Gambia,"61,963.00"
Georgia,"164,603.00"
Germany,"3,308,532.00"
Ghana,"730,934.00"
Greece,"749,066.00"
Greenland,"3,779.00"
Grenada,"3,527.00"
Guam,"5,031.00"
