Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female
Afghanistan,0.21,526.1,0.01,99.7,0.0,0.0,0.0,0.0,0.06,0.0,0.3,2.11,0.0,2010,291.5,272.92,1.55,14.4,28189672.0,8273.0,0.0002934762774111029,42.70000076293945,6927765.0,22257746.0,48.82475662231445
Albania,7.69,3577.11,18.0,80.3,1.4,0.0,0.0,0.0,0.2,0.0,0.42,9.63,18100.0,2010,291.5,139.0,0.68,32.3,2913402.0,0.0,0.0,100.0,1519519.0,1393502.0,49.62505340576172
Algeria,0.65,3918.49,1.0,98.0,1.8,0.0,0.0,0.2,0.0,0.8,0.25,7.51,9094.0,2010,291.5,452.0,1.21,25.1,35856348.0,318.0,8.868722492318514e-06,98.8589324951172,24299170.0,11678281.0,49.52016067504883
Andorra,11.11,34667.17,89.5,0.8,8.8,0.5,0.0,0.0,0.1,0.3,0,10.53,0.0,2010,291.5,272.92,0.31,37.1,71542.0,0.0,0.0,100.0,75011.0,9443.0,0.5
Angola,8.16,3988.62,90.5,1.0,5.1,0.0,0.0,4.2,0.0,0.0,0.09,3.83,0.0,2010,291.5,272.92,0.39,16.0,23364196.0,23.0,9.844122177369168e-07,34.89563751220703,13963065.0,9393182.0,50.55165863037109
Antigua and Barbuda,5.6,13986.84,93.0,0.6,1.7,0.2,0.0,3.6,1.0,0.0,0,9.24,0.0,2010,291.5,3.0,0.48,30.2,85710.0,0.0,0.0,98.59723663330078,23097.0,64933.0,52.15494537353516
Argentina,9.09,13551.34,85.2,1.0,12.2,0.0,0.05,0.8,0.3,0.5,0.63,10.6,1608826.0,2010,291.5,272.92,0.14,28.9,41100124.0,0.0,0.0,98.81999969482422,37055902.0,3732551.0,51.34274291992188
Armenia,5.69,2958.84,98.5,0.0,1.3,0.0,0.0,0.0,0.1,0.0,0.18,11.12,5865.0,2010,291.5,124.0,0.28,31.2,2946296.0,4.0,1.3576368430055907e-06,99.8000030517578,1825368.0,1051946.0,53.20806121826172
Australia,12.39,53542.83,43.9,3.2,38.9,2.7,2.4,1.3,0.8,0.4,0.8,12.03,1142297.0,2010,291.5,266.0,2.94,36.1,22019166.0,10.0,4.541498074904381e-07,100.0,18767085.0,3264665.0,49.9908447265625
Austria,12.2,43334.51,68.2,8.3,13.5,0.0,0.2,0.0,0.1,0.0,0.77,11.71,173745.0,2010,291.5,49.0,2.55,40.8,8362829.0,0.0,0.0,100.0,4800510.0,3562894.0,51.26434326171875
