Country,Wine
Africa,"1,012,998.00 t"
Africa (FAO),"1,012,998.00 t"
Albania,"18,100.00 t"
Algeria,"9,094.00 t"
Americas (FAO),"5,691,998.00 t"
Argentina,"1,608,826.00 t"
Armenia,"5,865.00 t"
Asia,"1,928,328.00 t"
Asia (FAO),"1,939,251.00 t"
Australia,"1,142,297.00 t"
Austria,"173,745.00 t"
Azerbaijan,"11,697.00 t"
Belarus,"25,110.00 t"
Belgium,"3,000.00 t"
Belgium-Luxembourg (FAO),
Bolivia,"7,423.00 t"
Bosnia and Herzegovina,"4,504.00 t"
Brazil,"245,900.00 t"
Bulgaria,"150,083.00 t"
Canada,"50,743.00 t"
Caribbean (FAO),"10,760.00 t"
Central America (FAO),"34,540.00 t"
Central Asia (FAO),"78,104.00 t"
Chile,"884,413.00 t"
China,"1,600,000.00 t"
China (FAO),"1,600,000.00 t"
Colombia,"8,230.00 t"
Croatia,"46,346.00 t"
Cuba,"10,760.00 t"
Cyprus,"10,923.00 t"
Czechia,"46,276.00 t"
Czechoslovakia,
Eastern Africa (FAO),"10,964.00 t"
Eastern Asia (FAO),"1,675,000.00 t"
Eastern Europe (FAO),"1,952,547.00 t"
Egypt,"4,400.00 t"
Eritrea and Ethiopia,
Estonia,
Ethiopia,914.00 t
Europe,"17,048,260.00 t"
Europe (FAO),"17,037,337.00 t"
European Union (27),"15,369,444.00 t"
European Union (27) (FAO),"15,369,444.00 t"
France,"4,531,671.00 t"
Georgia,"103,400.00 t"
Germany,"690,600.00 t"
Greece,"339,073.00 t"
High-income countries,"20,130,337.00 t"
Hungary,"181,279.00 t"
Iceland,2019 0.00 t
Israel,"5,000.00 t"
Italy,"4,469,318.00 t"
Japan,"75,000.00 t"
Jordan,438.00 t
Kazakhstan,"17,232.00 t"
Kyrgyzstan,"1,640.00 t"
Land Locked Developing Countries (FAO),"316,822.00 t"
Latvia,"2,500.00 t"
Least Developed Countries (FAO),"9,214.00 t"
Lebanon,"14,820.00 t"
Libya,2015 0.00 t
Lithuania,"7,244.00 t"
Low Income Food Deficit Countries (FAO),"40,153.00 t"
Low-income countries,"9,286.00 t"
Lower-middle-income countries,"407,829.00 t"
Luxembourg,"11,025.00 t"
Madagascar,"8,300.00 t"
Malta,"2,380.00 t"
Mauritius,"2017 3,881.00 t"
Mexico,"34,356.00 t"
Moldova,"132,560.00 t"
Mongolia,2015 75.00 t
Montenegro,"17,986.00 t"
Morocco,"33,695.00 t"
Net Food Importing Developing Countries (FAO),"132,657.00 t"
New Zealand,"190,000.00 t"
North America,"2,807,043.00 t"
North Macedonia,"77,209.00 t"
Northern Africa (FAO),"69,339.00 t"
Northern America (FAO),"2,761,743.00 t"
Northern Europe (FAO),"11,034.00 t"
Norway,2012 0.00 t
Oceania,"1,332,297.00 t"
Oceania (FAO),"1,332,297.00 t"
Panama,184.00 t
Paraguay,"1,300.00 t"
Peru,"52,000.00 t"
Portugal,"714,792.00 t"
Reunion,
Romania,"328,724.00 t"
Russia,"760,530.00 t"
Serbia,"238,233.00 t"
Serbia and Montenegro,
Slovakia,"27,785.00 t"
Slovenia,"22,680.00 t"
Small Island Developing States (FAO),"10,760.00 t"
South Africa,"932,695.00 t"
South America,"2,884,955.00 t"
South America (FAO),"2,884,955.00 t"
South-eastern Asia (FAO),"5,982.00 t"
Southern Africa (FAO),"932,695.00 t"
Southern Europe (FAO),"9,560,621.00 t"
Spain,"3,610,000.00 t"
Switzerland,"103,094.00 t"
Syria,72.00 t
Tajikistan,215.00 t
Tunisia,"22,150.00 t"
Turkey,"27,950.00 t"
Turkmenistan,"37,737.00 t"
USSR,
Ukraine,"300,200.00 t"
United Kingdom,"1,290.00 t"
United States,"2,711,000.00 t"
Upper-middle-income countries,"6,466,429.00 t"
Uruguay,"76,863.00 t"
Uzbekistan,"21,280.00 t"
Vietnam,"5,982.00 t"
Western Asia (FAO),"180,165.00 t"
Western Europe (FAO),"5,513,135.00 t"
World,"27,013,881.00 t"
Yugoslavia,
Zimbabwe,"1,750.00 t"
