Country,GDP
Afghanistan,$556.01
Albania,"$3,952.80"
Algeria,"$4,177.89"
American Samoa,"$12,059.63"
Andorra,"$35,770.78"
Angola,"$4,166.98"
Antigua and Barbuda,"$14,285.33"
Argentina,"$13,789.06"
Armenia,"$3,607.29"
Aruba,"$28,396.91"
Australia,"$56,707.02"
Austria,"$44,195.82"
Azerbaijan,"$5,500.31"
Bahamas,"$31,776.05"
Bahrain,"$22,634.09"
Bangladesh,"$1,248.45"
Barbados,"$16,524.90"
Belarus,"$5,967.05"
Belgium,"$41,008.30"
Belize,"$4,770.23"
Benin,"$1,076.80"
Bermuda,"$102,005.63"
Bhutan,"$2,752.63"
Bolivia,"$3,035.97"
Bosnia and Herzegovina,"$4,729.69"
Botswana,"$6,402.91"
Brazil,"$8,813.99"
Brunei,"$31,164.04"
Bulgaria,"$7,074.68"
Burkina Faso,$653.33
Burundi,$305.55
Cambodia,"$1,162.91"
Cameroon,"$1,382.51"
Canada,"$43,596.14"
Cape Verde,"$3,043.03"
Cayman Islands,"$76,284.20"
Central African Republic,$377.42
Chad,$776.02
Chile,"$13,574.17"
China,"$8,016.43"
Colombia,"$6,175.88"
Comoros,"$1,242.59"
Congo,"$2,447.54"
Costa Rica,"$11,642.78"
Cote d'Ivoire,"$1,972.55"
Croatia,"$11,933.38"
Cuba,"$7,694.01"
Curacao,"$19,951.33"
Cyprus,"$23,408.34"
Czechia,"$17,829.70"
Democratic Republic of Congo,$497.32
Denmark,"$53,254.86"
Djibouti,"$2,658.95"
Dominica,"$7,597.29"
Dominican Republic,"$6,921.52"
East Asia and Pacific,"$9,579.47"
Ecuador,"$6,124.49"
Egypt,"$3,562.93"
El Salvador,"$3,705.58"
Equatorial Guinea,"$11,283.40"
Eritrea,
Estonia,"$17,402.04"
Eswatini,"$3,680.35"
Ethiopia,$640.54
Europe and Central Asia,"$22,624.87"
European Union,"$30,485.03"
Faeroe Islands,"$52,400.30"
Fiji,"$5,390.71"
Finland,"$42,801.91"
France,"$36,652.92"
Gabon,"$7,384.70"
Gambia,$660.72
Georgia,"$4,014.19"
Germany,"$41,103.26"
Ghana,"$1,774.07"
Greece,"$18,083.88"
Greenland,"$44,536.40"
Grenada,"$9,096.54"
Guam,"$35,829.25"
Guatemala,"$3,994.64"
Guinea,$769.26
Guinea-Bissau,$603.40
Guyana,"$5,576.83"
Haiti,"$1,386.85"
High income,"$40,478.27"
Honduras,"$2,286.20"
Hong Kong,"$42,431.89"
Hungary,"$12,720.71"
Iceland,"$52,951.68"
India,"$1,605.61"
Indonesia,"$3,331.70"
Iran,"$4,904.33"
Iraq,"$4,688.32"
Ireland,"$62,012.48"
Isle of Man,"$85,126.97"
Israel,"$35,808.44"
Italy,"$30,242.39"
Jamaica,"$4,907.93"
Japan,"$34,960.64"
Jordan,"$4,164.11"
Kazakhstan,"$10,510.77"
Kenya,"$1,464.55"
Kiribati,"$1,542.62"
Kosovo,"$3,520.77"
Kuwait,"$29,869.55"
Kyrgyzstan,"$1,121.08"
Laos,"$2,140.04"
Latin America and Caribbean,"$8,630.86"
Latvia,"$13,786.46"
Lebanon,"$7,663.92"
Lesotho,"$1,146.06"
Liberia,$721.58
Libya,"$4,337.92"
Liechtenstein,"$167,313.27"
Lithuania,"$14,263.96"
Low and middle income,"$4,371.29"
Low income,$715.93
Lower middle income,"$2,081.02"
Luxembourg,"$105,462.02"
Macao,"$74,818.95"
Madagascar,$467.24
Malawi,$380.60
Malaysia,"$9,955.24"
Maldives,"$9,033.41"
Mali,$751.47
Malta,"$24,921.60"
Marshall Islands,"$3,199.89"
Mauritania,"$1,524.07"
Mauritius,"$9,260.45"
Mexico,"$9,616.65"
Micronesia (country),"$2,906.62"
Middle East and North Africa,"$7,269.50"
Middle income,"$4,756.48"
Moldova,"$2,732.46"
Monaco,"$165,989.50"
Mongolia,"$3,875.32"
Montenegro,"$6,514.27"
Morocco,"$2,875.26"
Mozambique,$589.86
Myanmar,"$1,196.74"
Namibia,"$4,896.62"
Nauru,"$8,341.01"
Nepal,$901.75
Netherlands,"$45,193.40"
New Caledonia,"$32,520.29"
