Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate,depression_per_pop
Afghanistan,0.21,556.01,0.01,99.7,0.0,0.0,0.0,0.0,0.06,0.0,0.34,2.37,0.0,2015,1238345.0,3130.0,1.55,15.7,33753500.0,23667.0,0.000701171730339076,71.5,8535606.0,25877997.0,48.60704803466797,24.8,6.4,0.03668789903269291
Albania,6.74,3952.8,18.0,80.3,1.4,0.0,0.0,0.0,0.2,0.0,0.27,10.55,16400.0,2015,78435.0,114.0,0.82,34.7,2882482.0,0.0,0.0,99.9800033569336,1654503.0,1226200.0,49.09379577636719,57.43,5.2,0.027210924474116403
Algeria,0.93,4177.89,1.0,98.0,1.8,0.0,0.0,0.2,0.0,0.8,0.23,7.81,9563.0,2015,1607687.0,662.0,1.23,26.5,39543148.0,112.0,2.8323491088772193e-06,99.18666076660156,28146508.0,11581512.0,49.49687576293945,70.85,3.7,0.04065652537324545
Andorra,11.01,35770.78,89.5,0.8,8.8,0.5,0.0,0.0,0.1,0.3,0.0,10.57,0.0,2015,3344.0,,0.34,39.8,71766.0,0.0,0.0,100.0,68903.0,9090.0,0.5,88.35,7.3,0.046595881057882566
Angola,7.96,4166.98,90.5,1.0,5.1,0.0,0.0,4.2,0.0,0.0,0.13,4.7,0.0,2015,1073701.0,2803.0,0.43,16.0,28127724.0,1.0,3.555211221498049e-08,42.0,17691524.0,10192856.0,50.54132843017578,63.45,12.5,0.03817233843733677
Antigua and Barbuda,5.89,14285.33,93.0,0.6,1.7,0.2,0.0,3.6,1.0,0.0,0.0,9.17,0.0,2015,2822.0,2.0,0.36,32.1,89958.0,0.0,0.0,100.0,23393.0,70178.0,51.87825393676758,25.0,2.8,0.0313701949798795
Argentina,9.55,13789.06,85.2,1.0,12.2,0.0,0.05,0.8,0.3,0.5,0.6,10.92,1336196.0,2015,1104941.0,2742.0,0.17,29.9,43257064.0,0.0,0.0,99.6253890991211,39467043.0,3664923.0,51.27348327636719,91.5,10.4,0.02554359676375632
Armenia,5.84,3607.29,98.5,0.0,1.3,0.0,0.0,0.0,0.1,0.0,0.23,11.57,5932.0,2015,104628.0,114.0,0.26,32.3,2878598.0,51.0,1.7716958046938126e-05,100.0,1845589.0,1079970.0,52.989051818847656,63.08,8.3,0.03634686052029495
Australia,10.83,56707.02,43.9,3.2,38.9,2.7,2.4,1.3,0.8,0.4,0.81,12.25,1191193.0,2015,1149604.0,272.0,3.66,36.3,23820240.0,3.0,1.259433154325901e-07,100.0,20410546.0,3405449.0,50.170875549316406,85.7,11.3,0.048261646398189105
Austria,12.07,44195.82,68.2,8.3,13.5,0.0,0.2,0.0,0.1,0.0,0.8,12.08,226840.0,2015,324348.0,55.0,1.73,42.0,8642422.0,0.0,0.0,100.0,4988134.0,3654565.0,51.044830322265625,57.72,12.0,0.03752975728331711
Azerbaijan,4.58,5500.31,3.0,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.06,10.48,10350.0,2015,282446.0,253.0,0.35,28.8,9863485.0,63.0,6.387194789671197e-06,100.0,5279540.0,4369801.0,50.2375373840332,54.71,3.7,0.02863551777084874
Bahamas,4.55,31776.05,96.0,0.1,3.1,0.0,0.0,0.3,0.3,0.0,0.0,12.29,0.0,2015,11745.0,127.0,0.36,30.3,392707.0,0.0,0.0,100.0,309636.0,64564.0,51.4676628112793,82.75,2.8,0.02990779385139557
