Country,Tobacco Use
Afghanistan,26.00%
Algeria,21.10%
Andorra,33.00%
Argentina,26.60%
Armenia,26.90%
Australia,15.70%
Austria,31.20%
Azerbaijan,25.20%
Bahamas,10.60%
Bahrain,16.40%
Bangladesh,38.90%
Barbados,8.80%
Belarus,33.00%
Belgium,25.70%
Belize,9.70%
Benin,8.60%
Bolivia,15.60%
Bosnia and Herzegovina,37.70%
Botswana,21.70%
Brazil,14.90%
Brunei,16.30%
Bulgaria,40.70%
Burkina Faso,17.00%
Burundi,13.90%
Cambodia,25.20%
Cameroon,8.40%
Canada,15.80%
Cape Verde,13.10%
Central and Southern Asia (UN),31.10%
Chad,9.40%
Chile,32.90%
China,25.90%
Colombia,9.90%
Comoros,23.50%
Congo,13.50%
Cook Islands,27.90%
Costa Rica,10.50%
Cote d'Ivoire,11.10%
Croatia,36.10%
Cuba,22.00%
Cyprus,36.40%
Czechia,31.40%
Democratic Republic of Congo,14.00%
Denmark,21.10%
Dominican Republic,12.20%
Eastern and South-Eastern Asia (UN),27.20%
Ecuador,12.80%
Egypt,24.30%
El Salvador,9.50%
Eritrea,8.70%
Estonia,33.30%
Eswatini,9.80%
Ethiopia,5.50%
Europe and Northern America (UN),26.40%
Fiji,25.10%
Finland,24.50%
France,33.70%
Gambia,13.30%
Georgia,32.00%
Germany,24.90%
Ghana,4.20%
Greece,37.90%
Guatemala,11.60%
Guinea-Bissau,10.70%
Guyana,15.10%
Haiti,8.60%
Hungary,33.20%
Iceland,15.20%
India,32.20%
Indonesia,36.70%
Iran,15.30%
Iraq,19.10%
Ireland,23.80%
Israel,23.40%
Italy,23.80%
Jamaica,11.00%
Japan,22.70%
Jordan,33.70%
Kazakhstan,25.40%
Kenya,12.80%
Kiribati,46.40%
Kuwait,18.30%
Kyrgyzstan,28.40%
Laos,35.80%
Latin America and the Caribbean (UN),15.40%
Latvia,38.50%
Lebanon,38.70%
Lesotho,25.60%
Liberia,9.60%
Lithuania,34.00%
Luxembourg,23.20%
Madagascar,31.30%
Malawi,13.10%
Malaysia,23.90%
Maldives,27.60%
Mali,9.90%
Malta,26.30%
Marshall Islands,28.40%
Mauritania,12.60%
Mauritius,21.40%
Mexico,15.20%
Moldova,27.90%
Mongolia,30.60%
Montenegro,33.10%
Morocco,16.20%
Mozambique,17.00%
Myanmar,48.80%
Namibia,17.10%
Nauru,51.80%
Nepal,36.00%
Netherlands,24.60%
New Zealand,16.50%
Niger,7.90%
Nigeria,4.70%
North Korea,19.60%
Norway,20.70%
Oman,7.80%
Pakistan,23.60%
Palau,19.40%
Panama,6.40%
Papua New Guinea,42.50%
Paraguay,14.50%
Peru,11.50%
Philippines,25.40%
Poland,27.20%
Portugal,25.20%
Qatar,12.20%
Romania,29.70%
Russia,28.30%
Rwanda,15.90%
Samoa,28.10%
Sao Tome and Principe,6.20%
Saudi Arabia,14.20%
Senegal,8.30%
Serbia,40.90%
Seychelles,22.10%
Sierra Leone,18.10%
Singapore,16.50%
Slovakia,31.50%
Slovenia,22.70%
Solomon Islands,37.90%
South Africa,21.00%
South Korea,23.80%
Spain,29.70%
Sri Lanka,23.30%
Sub-Saharan Africa (UN),11.10%
Sweden,27.90%
Switzerland,26.20%
Tanzania,11.60%
Thailand,24.10%
Timor,42.50%
Togo,8.20%
Tonga,31.60%
Tunisia,26.60%
Turkey,31.10%
Turkmenistan,6.70%
Tuvalu,38.40%
Uganda,10.90%
Ukraine,28.40%
United Kingdom,19.30%
United States,25.30%
Uruguay,24.30%
Uzbekistan,19.10%
Vanuatu,19.40%
Vietnam,26.00%
World,24.40%
Yemen,21.80%
Zambia,15.50%
Zimbabwe,13.60%
