Country,Alcohol Consumption
Afghanistan,0.21 L
Albania,7.17 L
Algeria,0.95 L
Andorra,11.02 L
Angola,6.94 L
Antigua and Barbuda,6.38 L
Argentina,9.65 L
Armenia,5.55 L
Australia,10.51 L
Austria,11.96 L
Azerbaijan,4.41 L
Bahamas,4.78 L
Bahrain,1.09 L
Bangladesh,0.02 L
Barbados,9.69 L
Belarus,11.45 L
Belgium,11.08 L
Belize,6.22 L
Benin,2.81 L
Bhutan,0.43 L
Bolivia,4.43 L
Bosnia and Herzegovina,7.15 L
Botswana,6.59 L
Brazil,7.42 L
Brunei,0.48 L
Bulgaria,12.65 L
Burkina Faso,12.03 L
Burundi,7.19 L
Cambodia,6.64 L
Cameroon,5.65 L
Canada,8.94 L
Cape Verde,5.60 L
Central African Republic,2.38 L
Chad,1.37 L
Chile,9.07 L
China,7.05 L
Colombia,5.74 L
Comoros,0.69 L
Congo,9.27 L
Costa Rica,4.87 L
Cote d'Ivoire,2.71 L
Croatia,9.23 L
Cuba,5.83 L
Cyprus,10.81 L
Czechia,14.45 L
Democratic Republic of Congo,2.00 L
Denmark,10.26 L
Djibouti,0.43 L
Dominica,11.18 L
Dominican Republic,6.68 L
East Asia and Pacific,6.43 L
Ecuador,4.20 L
Egypt,0.36 L
El Salvador,3.89 L
Equatorial Guinea,7.23 L
Eritrea,1.44 L
Estonia,9.23 L
Eswatini,10.04 L
Ethiopia,2.36 L
Europe and Central Asia,9.76 L
European Union,11.44 L
Fiji,3.32 L
Finland,10.78 L
France,12.33 L
Gabon,8.74 L
Gambia,3.55 L
Georgia,8.25 L
Germany,12.91 L
Ghana,2.75 L
Greece,10.18 L
Grenada,9.48 L
Guatemala,2.45 L
Guinea,1.11 L
Guinea-Bissau,5.38 L
Guyana,6.89 L
Haiti,2.73 L
High income,9.78 L
Honduras,3.76 L
Hungary,11.35 L
Iceland,9.12 L
India,5.54 L
Indonesia,0.57 L
Iran,1.03 L
Iraq,0.39 L
Ireland,12.88 L
Israel,4.21 L
Italy,7.84 L
Jamaica,4.22 L
Japan,7.96 L
Jordan,0.69 L
Kazakhstan,4.76 L
Kenya,2.78 L
Kiribati,0.46 L
Kuwait,0.00 L
Kyrgyzstan,6.26 L
Laos,10.72 L
Latin America and Caribbean,6.33 L
Latvia,12.77 L
Lebanon,1.71 L
Lesotho,4.59 L
Liberia,6.12 L
Libya,0.02 L
Lithuania,13.22 L
Low and middle income,5.43 L
Low income,3.20 L
Lower middle income,4.43 L
Luxembourg,12.94 L
Madagascar,1.97 L
Malawi,3.63 L
Malaysia,0.85 L
Maldives,2.22 L
Mali,1.28 L
Malta,7.99 L
Mauritania,0.04 L
Mauritius,4.35 L
Mexico,5.00 L
Micronesia (country),2.48 L
Middle East and North Africa,0.81 L
Middle income,5.62 L
Moldova,11.43 L
Mongolia,8.19 L
Montenegro,11.47 L
Morocco,0.69 L
Mozambique,2.30 L
Myanmar,5.12 L
Namibia,5.43 L
Nauru,3.71 L
Nepal,2.05 L
Netherlands,9.61 L
New Zealand,10.63 L
Nicaragua,5.18 L
Niger,0.67 L
Nigeria,10.84 L
North America,9.77 L
North Korea,3.80 L
North Macedonia,6.16 L
Norway,7.41 L
Oman,0.78 L
Pakistan,0.34 L
Panama,7.98 L
Papua New Guinea,1.39 L
Paraguay,7.58 L
Peru,6.38 L
Philippines,6.86 L
Poland,11.71 L
Portugal,12.03 L
Qatar,1.59 L
Romania,11.74 L
Russia,11.19 L
Rwanda,8.95 L
Saint Kitts and Nevis,8.94 L
Saint Lucia,10.60 L
Saint Vincent and the Grenadines,9.06 L
Samoa,2.66 L
Sao Tome and Principe,5.88 L
Saudi Arabia,0.19 L
Senegal,0.76 L
Serbia,8.75 L
Seychelles,20.50 L
Sierra Leone,5.70 L
Singapore,2.03 L
Slovakia,11.14 L
Slovenia,11.90 L
Solomon Islands,1.83 L
Somalia,0.01 L
South Africa,9.52 L
South Asia,4.33 L
South Korea,9.70 L
Spain,12.72 L
Sri Lanka,4.10 L
Sub-Saharan Africa,5.84 L
Sudan,0.51 L
Suriname,5.33 L
Sweden,8.93 L
Switzerland,11.53 L
Syria,0.24 L
Tajikistan,3.28 L
Tanzania,11.27 L
Thailand,8.30 L
Timor,2.17 L
Togo,2.46 L
Tonga,0.80 L
Trinidad and Tobago,6.72 L
Tunisia,2.12 L
Turkey,2.05 L
Turkmenistan,4.93 L
Tuvalu,1.52 L
Uganda,15.09 L
Ukraine,8.32 L
United Arab Emirates,3.90 L
United Kingdom,11.45 L
United States,9.87 L
Upper middle income,6.96 L
Uruguay,6.92 L
Uzbekistan,2.59 L
Vanuatu,2.25 L
Venezuela,4.14 L
Vietnam,8.66 L
World,6.18 L
Yemen,0.05 L
Zambia,6.54 L
Zimbabwe,4.67 L
