Country ,Christian ,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish
Angola,90.5,1,5.1,0,0,4.2,0,0
Cameroon,70.3,30,5.3,0,0,3.3,2.7,0
Central African Republic,89.5,15,1,0,0,1,0,0
Chad,40.6,58,2.5,0,0,1.4,0.1,0
Democratic Republic of Congo,95.8,1.9,1.8,0.05,0,0.7,0.1,0.00003
Congo,85.9,2,9,0,0,2.8,1.1,0
Equatorial Guinea,88.7,10,5,0,0,1.7,0.5,0
Gabon,76.5,11.2,5.6,0,0,6,0.7,0
São Tomé and Príncipe,82.2,3,12.6,0,0,2.9,2.4,0
Burundi,91.5,10,0,0,0,5.7,0,0
Comoros,0.2,99.8,0,0,0,0,0,0
Djibouti,2.3,96.9,0.2,0,0,0.3,0,0.2
Eritrea,50,48,0.1,0,0,0.4,0,0
Ethiopia,54,42.6,0.06,0,0,2.6,0,1
Kenya,84.8,9.7,2.5,0.1,0,1.7,1.2,0
Madagascar,85.3,3,6.9,0.05,0,4.5,0.1,0
Malawi,82.7,13,2.5,0,0,1.7,0,0
Mauritius,25.3,16.7,0.6,56.4,0,0.7,0.3,0
Mayotte,0.7,98.6,0.2,0,0,0.5,0,0
Mozambique,56.7,18,17.9,0,0,7.4,0,0
Réunion,87.6,4.2,2,4.5,0.2,0.4,1.1,0
Rwanda,93.4,4.8,3.6,0,0,1,0.2,0
Seychelles,94,1.1,2.1,2.1,0,0,0.6,0
Somalia,0.01,99.8,0,0,0,0,0,0
South Sudan,60.5,20,0.5,0,0,32.9,0,0
Tanzania,61.4,35.2,1.4,0.1,0,1.8,0.07,0
Uganda,86.7,11.5,0.5,0.3,0,0.9,0.1,0
Zambia,97.6,1,0.5,0.1,0,0.3,0.9,0
Zimbabwe,87,1,7.9,0,0,3.8,0.3,0.08
Algeria,1,98,1.8,0,0,0.2,0,0.8
Egypt,11.2,88.9,0,0,0,0,0,0.1
Libya,2.7,96.6,0.2,0,0.3,0,0,0
Morocco,0.06,99.9,0,0,0,0,0.01,0.04
Sudan,5.4,90.7,1,0,0,2.8,0,0
Tunisia,0.2,99.5,0.2,0,0,0,0,0.1
Botswana,72.1,0.4,20.6,0.3,0,6,0.6,0
Eswatini,88.1,2,10.1,0.1,0,1,0.4,0
Lesotho,96.7,0.1,3.1,0,0,0.1,0,0
Namibia,97.5,0.3,1.9,0,0,0.2,0,0
South Africa,81.2,2,14.9,1.7,0.2,0.4,0.3,0.1
Benin,48,28,6,0,0,18,0,0
Burkina Faso,22.5,62,0.4,0,0,15.4,0,0
Cape Verde,89.1,2,9.1,0,0,1.5,0.2,0
The Gambia,4.5,95.1,0,0,0,0.1,0,0
Ghana,74.9,17.8,4.2,0,0,4.9,0.2,0
Guinea,10.9,84.4,1.8,0,0,2.7,0,0
Guinea-Bissau,20,45.2,4,0,0,28,0,0
Ivory Coast,44.1,43.2,8,0,0,10.2,0.2,0
Liberia,85.9,20,1.4,0,0,0.5,0.1,0
Mali,3.2,95,0.6,0,0,1.2,0,0
Mauritania,0.1,99.9,0,0,0,0,0,0
Niger,0.8,98.4,0.7,0,0,0,0,0
Nigeria,38.23,61.34,0.04,0,0.01,1,0.06,0
Senegal,5,92,0.2,0,0,2.8,0,0
Sierra Leone,21,78,0.1,0,0,1,0,0
Saint Helena,96.5,3.5,0,0,0,0,0,0
Togo,43.7,20,6.2,0,0,35.6,0.6,0
Anguilla,90.60%,0.30%,4.00%,0.40%,0.00%,2.90%,1.60%,0.10%
Antigua and Barbuda,93.00%,0.60%,1.70%,0.20%,0.00%,3.60%,1.00%,0.00%
Aruba,91.90%,0.20%,6.00%,0.00%,0.10%,1.30%,0.10%,0.40%
Bahamas,96.00%,0.10%,3.10%,0.00%,0.00%,0.30%,0.30%,0.00%
Barbados,95.20%,1.00%,1.90%,0.40%,0.00%,0.00%,1.40%,0.00%
Cayman Islands,83.50%,0.40%,9.40%,0.90%,0.00%,4.50%,0.60%,0.80%
Cuba,59.20%,0.00%,23.00%,0.20%,0.00%,17.40%,0.00%,0.00%
Dominica,94.40%,0.10%,0.50%,0.00%,0.10%,3.00%,1.70%,0.00%
Dominican Republic,88.00%,0.00%,10.90%,0.00%,0.00%,0.90%,0.10%,0.00%
Grenada,96.60%,0.30%,1.00%,0.70%,0.00%,1.30%,0.20%,0.00%
Guadeloupe,95.90%,0.40%,2.50%,0.50%,0.00%,0.40%,0.40%,0.00%
Haiti,86.90%,0.00%,10.60%,0.00%,0.00%,2.20%,0.30%,0.00%
Jamaica,77.20%,0.00%,17.20%,0.00%,0.00%,4.50%,1.00%,0.00%
Martinique,96.50%,0.20%,2.30%,0.20%,0.00%,0.20%,0.60%,0.00%
Montserrat,93.50%,0.00%,4.80%,0.10%,0.00%,0.20%,1.50%,0.00%
Netherlands Antilles,93.90%,0.20%,3.30%,0.20%,0.50%,1.20%,0.30%,0.30%
Puerto Rico,96.70%,0.00%,1.90%,0.00%,0.30%,0.80%,0.10%,0.00%
Saint Kitts and Nevis,94.60%,0.30%,1.60%,1.50%,0.00%,1.30%,0.80%,0.00%
Saint Lucia,91.10%,0.10%,6.00%,0.30%,0.00%,0.50%,2.00%,0.00%
Saint Vincent and the Grenadines,88.70%,1.50%,2.50%,3.40%,0.00%,2.00%,2.00%,0.00%
Trinidad and Tobago,65.90%,5.90%,1.90%,22.70%,0.30%,1.90%,1.40%,0.00%
Turks and Caicos Islands,92.10%,0.00%,4.60%,0.00%,0.00%,2.70%,0.60%,0.00%
British Virgin Islands,84.50%,1.20%,3.90%,1.20%,0.00%,8.40%,0.80%,0.00%
U.S. Virgin Islands,94.80%,0.10%,3.70%,0.40%,0.00%,0.00%,0.60%,0.30%
Belize,87.60%,0.10%,8.90%,0.20%,0.50%,1.50%,0.10%,1.00%
Costa Rica,90.90%,0.00%,7.90%,0.00%,0.00%,0.80%,0.30%,0.00%
El Salvador,88.20%,0.00%,11.00%,0.00%,0.00%,0.50%,0.30%,0.00%
Guatemala,95.20%,0.00%,4.10%,0.00%,0.00%,0.60%,0.07%,0.00%
