Country,suicide_death_rate
Afghanistan,6.4
African Region (WHO),10.7
Albania,5.2
Algeria,3.7
American Samoa,7.3
Andorra,7.3
Angola,12.5
Antigua and Barbuda,2.8
Argentina,10.4
Armenia,8.3
Australia,11.3
Austria,12
Azerbaijan,3.7
Bahamas,2.8
Bahrain,5.2
Bangladesh,4.7
Barbados,3.7
Belarus,19.3
Belgium,15.5
Belize,7
Benin,11.4
Bermuda,3.2
Bhutan,6
Bolivia,7
Bosnia and Herzegovina,8.7
Botswana,20.4
Brazil,6
Brunei,5.8
Bulgaria,10.4
Burkina Faso,13
Burundi,12.8
Cambodia,5.3
Cameroon,14.3
Canada,11.7
Cape Verde,16.4
Central African Republic,20.2
Chad,13.3
Chile,10.1
China,7.3
Colombia,5.6
Comoros,7.8
Congo,12.6
Cook Islands,12.6
Costa Rica,7.2
Cote d'Ivoire,14.7
Croatia,12
Cuba,11.1
Cyprus,4.2
Czechia,11.4
Democratic Republic of Congo,12.2
Denmark,8.5
Djibouti,9.5
Dominica,4.9
Dominican Republic,7.3
East Asia & Pacific (WB),7.7
Eastern Mediterranean Region (WHO),6.2
Ecuador,9.5
Egypt,3.6
El Salvador,8.9
England,6.7
Equatorial Guinea,9.8
Eritrea,14.6
Estonia,12.4
Eswatini,26.6
Ethiopia,10.4
Europe & Central Asia (WB),13.2
European Region (WHO),13.2
Fiji,9.8
Finland,12.5
France,13.2
G20,10.4
Gabon,13.7
Gambia,9.2
Georgia,7.1
Germany,9.7
Ghana,10.3
Greece,3.6
Greenland,58.3
Grenada,4.8
Guam,19.1
Guatemala,5.4
Guinea,11.8
Guinea-Bissau,15.9
Guyana,36.4
Haiti,10
Honduras,3.4
Hungary,15.3
Iceland,9.2
India,13.9
Indonesia,3.1
Iran,5.3
Iraq,6
Ireland,8.7
Israel,5.7
Italy,5.1
Jamaica,2.8
Japan,15.2
Jordan,2.4
Kazakhstan,25.5
Kenya,11.3
Kiribati,27.3
Kuwait,2.7
Kyrgyzstan,10.6
Laos,6.8
Latin America & Caribbean (WB),6.7
Latvia,16.7
Lebanon,3.4
Lesotho,45.9
Liberia,9.5
Libya,4.5
Lithuania,29.5
Luxembourg,9.2
Madagascar,10.1
Malawi,12.3
Malaysia,5.4
Maldives,3.7
Mali,8
Malta,4.3
Marshall Islands,22.6
Mauritania,6.5
Mauritius,8.5
Mexico,5.8
Micronesia (country),23.3
Middle East & North Africa (WB),4.7
Moldova,14.5
Monaco,11
Mongolia,18.1
Montenegro,14.8
Morocco,7.4
Mozambique,16.8
Myanmar,4
Namibia,13.7
Nauru,24
Nepal,12.6
Netherlands,9.3
New Zealand,10.8
Nicaragua,5.8
Niger,9
Nigeria,7.6
Niue,12
North America (WB),12.3
North Korea,10.1
North Macedonia,7.9
Northern Ireland,10.3
Northern Mariana Islands,17.8
Norway,9.3
OECD Countries,10.8
Oman,2.9
Pakistan,9
Palau,13.5
Palestine,2.9
Panama,4.8
Papua New Guinea,3.7
Paraguay,6
Peru,2.9
Philippines,4.2
Poland,14.4
Portugal,8.5
Puerto Rico,5.3
Qatar,4.5
Region of the Americas (WHO),8.9
Romania,9.2
Russia,25.7
Rwanda,9.4
Saint Kitts and Nevis,3.6
Saint Lucia,6.6
Saint Vincent and the Grenadines,6.3
Samoa,13.5
San Marino,9.3
Sao Tome and Principe,2.6
Saudi Arabia,4.5
Scotland,10
Senegal,12.7
Serbia,13.4
Seychelles,7.6
Sierra Leone,10
Singapore,7
Slovakia,11
Slovenia,14.8
Solomon Islands,25.5
Somalia,13
South Africa,13.9
South Asia (WB),12.6
South Korea,21.1
South Sudan,8.7
South-East Asia Region (WHO),11.2
Spain,5.8
Sri Lanka,19
Sub-Saharan Africa (WB),11.1
Sudan,6
Suriname,24.7
Sweden,11.6
Switzerland,9.9
Syria,2.3
Taiwan,13.1
Tajikistan,5.6
Tanzania,10.1
Thailand,8.4
Timor,5.6
Togo,12.3
Tokelau,10.6
Tonga,5.2
Trinidad and Tobago,10
Tunisia,3.4
Turkey,2.8
Turkmenistan,9
Tuvalu,16.6
Uganda,11.1
Ukraine,29
United Arab Emirates,5.5
United Kingdom,7.1
United States,12.4
United States Virgin Islands,6.3
Uruguay,17.6
Uzbekistan,11.9
Vanuatu,19.8
Venezuela,7.9
Vietnam,8.1
Wales,8.4
Western Pacific Region (WHO),8.1
World,9.8
World Bank High Income,11.4
World Bank Low Income,11.3
World Bank Lower Middle Income,10.3
World Bank Upper Middle Income,8.4
Yemen,5.8
Zambia,14.7
Zimbabwe,24.6
