Country,urban_pop_share
Afghanistan,25.75%
Albania,61.23%
Algeria,73.19%
American Samoa,87.15%
Andorra,87.98%
Angola,66.18%
Antigua and Barbuda,24.51%
Argentina,91.99%
Armenia,63.22%
Aruba,43.55%
Australia,86.12%
Austria,58.51%
Azerbaijan,56.03%
Bahamas,83.13%
Bahrain,89.39%
Bangladesh,37.40%
Barbados,31.16%
Belarus,79.04%
Belgium,98.04%
Belize,45.87%
Benin,47.86%
Bermuda,100.00%
Bhutan,41.61%
Bolivia,69.77%
Bosnia and Herzegovina,48.63%
Botswana,70.17%
Brazil,86.82%
British Virgin Islands,48.12%
Brunei,77.94%
Bulgaria,75.35%
Burkina Faso,29.98%
Burundi,13.37%
Cambodia,23.81%
Cameroon,56.97%
Canada,81.48%
Cape Verde,66.19%
Cayman Islands,100.00%
Central African Republic,41.77%
Chad,23.28%
Channel Islands,30.93%
Chile,87.64%
China,60.31%
Colombia,81.10%
Comoros,29.16%
Congo,67.37%
Costa Rica,80.08%
Cote d'Ivoire,51.24%
Croatia,57.24%
Cuba,77.11%
Curacao,89.10%
Cyprus,66.81%
Czechia,73.92%
Democratic Republic of Congo,45.05%
Denmark,87.99%
Djibouti,77.92%
Dominica,70.79%
Dominican Republic,81.83%
East Asia and Pacific,59.89%
Ecuador,63.99%
Egypt,42.73%
El Salvador,72.75%
Equatorial Guinea,72.63%
Eritrea,2011 35.77%
Estonia,69.05%
Eswatini,23.98%
Ethiopia,21.23%
Europe and Central Asia,72.41%
European Union,74.74%
Faeroe Islands,42.22%
Fiji,56.75%
Finland,85.45%
France,80.71%
French Polynesia,61.90%
Gabon,89.74%
Gambia,61.93%
Georgia,59.04%
Germany,77.38%
Ghana,56.71%
Gibraltar,100.00%
Greece,79.39%
Greenland,87.05%
Grenada,36.40%
Guam,94.86%
Guatemala,51.44%
Guinea,36.50%
Guinea-Bissau,43.78%
Guyana,26.69%
Haiti,56.19%
High income,81.57%
Honduras,57.73%
Hong Kong,100.00%
Hungary,71.64%
Iceland,93.86%
India,34.47%
Indonesia,55.99%
Iran,75.39%
Iraq,70.68%
Ireland,63.40%
Isle of Man,52.74%
Israel,92.50%
Italy,70.74%
Jamaica,55.99%
Japan,91.70%
Jordan,91.20%
Kazakhstan,57.54%
Kenya,27.51%
Kiribati,54.83%
Kuwait,100.00%
Kyrgyzstan,36.59%
Laos,35.65%
Latin America and Caribbean,80.87%
Latvia,68.22%
Lebanon,88.76%
Lesotho,28.58%
Liberia,51.62%
Libya,80.39%
Liechtenstein,14.37%
Lithuania,67.86%
Low and middle income,50.72%
Low income,33.01%
Lower middle income,41.95%
Luxembourg,91.22%
Macao,100.00%
Madagascar,37.86%
Malawi,17.17%
Malaysia,76.61%
Maldives,40.24%
Mali,43.14%
Malta,94.68%
Marshall Islands,77.42%
Mauritania,54.51%
Mauritius,40.77%
Mexico,80.44%
Micronesia (country),22.81%
Middle East and North Africa,65.68%
Middle income,52.70%
Moldova,42.73%
Monaco,100.00%
Mongolia,68.54%
Montenegro,67.15%
Morocco,62.99%
Mozambique,36.53%
Myanmar,30.85%
Namibia,51.04%
Nauru,100.00%
Nepal,20.15%
Netherlands,91.88%
New Caledonia,71.10%
New Zealand,86.61%
Nicaragua,58.76%
Niger,16.52%
Nigeria,51.16%
North America,82.36%
North Korea,62.13%
North Macedonia,58.21%
Northern Mariana Islands,91.71%
Norway,82.62%
Oman,85.44%
Pakistan,36.91%
Palau,80.47%
Palestine,76.44%
Panama,68.06%
Papua New Guinea,13.25%
Paraguay,61.88%
Peru,78.10%
Philippines,47.15%
Poland,60.04%
Portugal,65.76%
Puerto Rico,93.58%
Qatar,99.19%
Romania,54.08%
Russia,74.59%
Rwanda,17.31%
Saint Kitts and Nevis,30.80%
Saint Lucia,18.75%
Saint Vincent and the Grenadines,52.61%
Samoa,18.06%
San Marino,97.37%
Sao Tome and Principe,73.60%
Saudi Arabia,84.07%
Senegal,47.65%
Serbia,56.26%
Seychelles,57.12%
Sierra Leone,42.48%
Singapore,100.00%
Sint Maarten (Dutch part),100.00%
Slovakia,53.73%
Slovenia,54.82%
Solomon Islands,24.21%
Somalia,45.55%
South Africa,66.86%
South Asia,34.43%
South Korea,81.43%
South Sudan,19.90%
Spain,80.57%
Sri Lanka,18.58%
Sub-Saharan Africa,40.71%
Sudan,34.94%
Suriname,66.10%
Sweden,87.71%
Switzerland,73.85%
Syria,54.82%
Tajikistan,27.31%
Tanzania,34.50%
Thailand,50.69%
Timor,30.95%
Togo,42.25%
Tonga,23.11%
Trinidad and Tobago,53.19%
Tunisia,69.25%
Turkey,75.63%
Turkmenistan,52.05%
Turks and Caicos Islands,93.36%
Tuvalu,63.22%
Uganda,24.36%
Ukraine,69.47%
United Arab Emirates,86.79%
United Kingdom,83.65%
United States,82.46%
United States Virgin Islands,95.83%
Upper middle income,66.78%
Uruguay,95.43%
Uzbekistan,50.43%
Vanuatu,25.39%
Venezuela,88.24%
Vietnam,36.63%
World,55.72%
Yemen,37.27%
Zambia,44.07%
Zimbabwe,32.21%
